144,9/14/2012,at Oakland Athletics,3-Feb,L,81-63
145,9/15/2012,at Oakland Athletics,5-Feb,L,81-64
146,9/16/2012,at Oakland Athletics,5-Sep,W,82-64
147,9/17/2012,at Seattle Mariners,4-Oct,W,83-64
148,9/18/2012,at Seattle Mariners,2-Apr,W,84-64
149,9/19/2012,at Seattle Mariners,1-Mar,W,85-64
150,9/21/2012,at Boston Red Sox,2-Apr,W,86-64
151,9/22/2012,at Boston Red Sox,6-Sep,W,87-64
152,9/23/2012,at Boston Red Sox,2-Jan,L,87-65
153-I,9/24/2012,vs Toronto Blue Jays,1-Apr,W,88-65
154-II,9/24/2012,vs Toronto Blue Jays,9-May,L,88-66
155,9/25/2012,vs Toronto Blue Jays,0-4,L,88-67
156,9/26/2012,vs Toronto Blue Jays,2-Dec,W,89-67
157,9/28/2012,vs Boston Red Sox,1-Sep,W,90-67
158,9/29/2012,vs Boston Red Sox,3-Apr,W,91-67
159,9/30/2012,vs Boston Red Sox,3-Jun,W,92-67
160,10/1/2012,at Tampa Bay Rays,5-Mar,L,92-68
161,10/2/2012,at Tampa Bay Rays,Jan-00,W,93-68
162,10/3/2012,at Tampa Bay Rays,4-Jan,L,93-69
,,,,,
